epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,2407.09,0.40332,0.3919,0.94711,0.90755,0.70418,0.71572,0.57414,1.26874,0.49307,1.69949,0.0006073,0.0006073,0.0006073
121,2426.85,0.42062,0.39446,0.95301,0.92968,0.71937,0.73864,0.56485,1.25305,0.46942,1.65888,0.000604,0.000604,0.000604
122,2446.54,0.40324,0.40186,0.95075,0.90981,0.71994,0.73905,0.56175,1.28225,0.51317,1.65582,0.0006007,0.0006007,0.0006007
123,2466.22,0.4061,0.39196,0.93352,0.92506,0.73232,0.73566,0.56427,1.25648,0.56745,1.60218,0.0005974,0.0005974,0.0005974
124,2486.02,0.40293,0.3998,0.94062,0.91989,0.69739,0.73331,0.53534,1.37232,0.54531,1.67734,0.0005941,0.0005941,0.0005941
125,2505.74,0.40117,0.38293,0.93766,0.89406,0.69407,0.72693,0.53668,1.3417,0.6377,1.6499,0.0005908,0.0005908,0.0005908
126,2525.26,0.39739,0.38219,0.93996,0.78707,0.73611,0.73336,0.53936,1.37477,0.58625,1.67939,0.0005875,0.0005875,0.0005875
127,2545.07,0.40013,0.38743,0.944,0.78314,0.75694,0.75423,0.54937,1.40484,0.59824,1.73076,0.0005842,0.0005842,0.0005842
128,2564.88,0.40137,0.38741,0.93798,0.75107,0.75694,0.75384,0.54015,1.35782,0.53188,1.71384,0.0005809,0.0005809,0.0005809
129,2585.01,0.38727,0.38424,0.93487,0.87828,0.71982,0.72966,0.54725,1.36181,0.53142,1.71948,0.0005776,0.0005776,0.0005776
130,2605.14,0.38044,0.35865,0.93126,0.927,0.72655,0.72979,0.53465,1.39865,0.52356,1.78511,0.0005743,0.0005743,0.0005743
131,2625.18,0.39046,0.37408,0.941,0.68489,0.73611,0.64928,0.48292,1.3904,0.55067,1.73804,0.000571,0.000571,0.000571
132,2644.89,0.40107,0.39677,0.94301,0.91206,0.73611,0.73011,0.55017,1.32726,0.51193,1.6589,0.0005677,0.0005677,0.0005677
133,2664.89,0.39589,0.38695,0.93025,0.77422,0.73611,0.73104,0.56748,1.24839,0.48398,1.54505,0.0005644,0.0005644,0.0005644
134,2684.87,0.38622,0.35429,0.92643,0.93897,0.7342,0.72796,0.5642,1.31557,0.45188,1.66871,0.0005611,0.0005611,0.0005611
135,2704.19,0.39696,0.38474,0.92708,0.87418,0.73611,0.7352,0.56398,1.32575,0.45323,1.65295,0.0005578,0.0005578,0.0005578
136,2723.63,0.37465,0.36012,0.92156,0.8712,0.71528,0.73717,0.57321,1.29354,0.48782,1.61417,0.0005545,0.0005545,0.0005545
137,2743.29,0.38249,0.37737,0.93148,0.85478,0.709,0.72733,0.5533,1.34118,0.54036,1.68831,0.0005512,0.0005512,0.0005512
138,2762.69,0.38642,0.36137,0.92435,0.93062,0.71206,0.73252,0.55953,1.33537,0.5232,1.6411,0.0005479,0.0005479,0.0005479
139,2782.42,0.38619,0.36428,0.93182,0.91711,0.73249,0.74894,0.56735,1.27823,0.49392,1.63097,0.0005446,0.0005446,0.0005446
140,2802.13,0.38758,0.37497,0.92607,0.88569,0.67407,0.71487,0.54802,1.28248,0.51247,1.63783,0.0005413,0.0005413,0.0005413
141,2822.27,0.38886,0.37514,0.93495,0.80657,0.70128,0.71462,0.56216,1.23582,0.50895,1.60849,0.000538,0.000538,0.000538
142,2842.14,0.39452,0.37206,0.92528,0.76851,0.71475,0.71143,0.55143,1.31521,0.55047,1.66023,0.0005347,0.0005347,0.0005347
